FZ Persei	HIP11020				
64.68398333	64.76465	25	18.961	25	14.121
64.57085	64.6519	25	25.749	25	20.886
64.46786667	64.54926667	25	31.928	25	27.044
64.05885	64.14163333	25	56.469	25	51.502
63.77266667	63.83773333	26	13.64	26	9.736
63.40216667	63.4871	26	35.87	26	30.774
63.00086667	63.08711667	26	59.948	26	54.773
62.63153333	62.71896667	27	22.108	27	16.862
62.2355	62.3242	27	45.87	27	40.548
61.87395	61.96378333	28	7.563	28	2.173
61.44736667	61.53853333	28	33.158	28	27.688
61.11301667	61.20521667	28	53.219	28	47.687
60.68565	60.77916667	29	18.861	29	13.25
60.29753333	60.39223333	29	42.148	29	36.466
59.94048333	60.03626667	30	3.571	29	57.824
59.76158333	59.85788333	30	14.305	30	8.527
59.61913333	59.71586667	30	22.852	30	17.048
59.47436667	59.57153333	30	31.538	30	25.708
59.3381	59.43566667	30	39.714	30	33.86
59.05865	59.15703333	30	56.481	30	50.578
58.95016667	59.04888333	31	2.99	30	57.067
58.82206667	58.92115	31	10.676	31	4.731
58.69166667	58.79113333	31	18.5	31	12.532
58.52415	58.6241	31	28.551	31	22.554
58.42396667	58.52421667	31	34.562	31	28.547
58.28885	58.38948333	31	42.669	31	36.631
58.16886667	58.26986667	31	49.868	31	43.808
58.02915	58.13053333	31	58.251	31	52.168
57.87836667	57.98018333	32	7.298	32	1.189
57.76681667	57.86895	32	13.991	32	7.863
57.64205	57.74455	32	21.477	32	15.327
57.47773333	57.5807	32	31.336	32	25.158
57.41853333	57.52166667	32	34.888	32	28.7
57.24521667	57.34883333	32	45.287	32	39.07
